authors,publication_date,research_orgs,product_type,article_type,journal_name
"""Lontchi, Eddy M. [Univ. of Alabama, Tuscaloosa, AL (United States)]"",""Vasiliu, Monica [Univ. of Alabama, Tuscaloosa, AL (United States)]"",""Tatina, Lauren M. [Univ. of Alabama, Tuscaloosa, AL (United States)]"",""Caccamo, Alyssa C. [Univ. of Alabama, Tuscaloosa, AL (United States)]"",""Gomez, Amber N. [Univ. of Alabama, Tuscaloosa, AL (United States)]"",""Gibson, John K. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)] (ORCID:0000000321075418)"",""Dixon, David A. [Univ. of Alabama, Tuscaloosa, AL (United States)] (ORCID:0000000294920056)""",2021-07-09T00:00:00Z,"""Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)""",Journal Article,Accepted Manuscript,"Journal of Physical Chemistry. A, Molecules, Spectroscopy, Kinetics, Environment, and General Theory"
"""Gates, Nathaniel"",""Cole, Wesley"",""Frazier, A. Will"",""Gagnon, Pieter""",2021-10-20T00:00:00Z,"""National Renewable Energy Lab. (NREL), Golden, CO (United States)""",Technical Report,,
"""Greenquist, Ian [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States). Nuclear Energy and Fuel Cycle Division]"",""Powers, Jeffrey J. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States). Nuclear Energy and Fuel Cycle Division] (ORCID:0000000336533880)""",2021-07-24T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Journal of Nuclear Materials
"""Veinot, K. G. [Y-12 National Security Complex, Oak Ridge, TN (United States)]"",""Gose, B. T. [Independent Researcher, Knoxville, TN (United States)]""",2021-08-01T00:00:00Z,"""Oak Ridge Y-12 Plant (Y-12), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Health Physics
"""Akimov, D. [Alikhanov Institute for Theoretical and Experimental Physics, Moscow, Russia]"",""An, P. [Duke Univ., Durham, NC (United States). Triangle Universities Nuclear Laboratory]"",""Awe, C. [Department of Physics, Duke University, Durham, NC]"",""Barbeau, Phillip S. [ORNL]"",""Becker, Brandon J. [ORNL]"",""Belov, V. [National Research Nuclear University (MEPhI), Moscow, Russia]"",""Bernardi, Igor [ORNL]"",""Blackston, Matthew [ORNL] (ORCID:0000000320960108)"",""Blokland, Lara S. [ORNL]"",""Bolozdynya, A. [Moscow Engineering Physics Institute (MEPhI), Russia]"",""Cabrera-Palmer, Belkis [ORNL]"",""Chen, N [Center for Experimental Nuclear Physics and Astrophysics, University of Washington]"",""Chernyak, D [University of South Dakota]"",""Conley, Erin [ORNL] (ORCID:0000000318398910)"",""Daughhetee, Jake [ORNL]"",""Day, Eric [Carnegie Mellon University (CMU)]"",""Coello, M [Indiana University]"",""Detwiler, Jason [ORNL]"",""Durand, M [Center for Experimental Nuclear Physics and Astrophysics, University of Washington]"",""Efremenko, Yuri [ORNL]"",""Elliott, S. R. [Los Alamos National Laboratory (LANL)]"",""Fabris, Lorenzo [ORNL] (ORCID:0000000156055615)"",""Febbraro, Michael T. [ORNL] (ORCID:0000000203472260)"",""Fox, W [Indiana University, Center for the Exploration of Energy and Matter (CEEM)]"",""Galindo-Uribarri, Alfredo [ORNL] (ORCID:000000017450404X)"",""Green, Matthew [ORNL]"",""Hansen, K S. [Center for Experimental Nuclear Physics and Astrophysics, University of Washington]"",""Heath, Matthew [ORNL]"",""Hedges, Samuel C. [ORNL]"",""Hughes, Maximilian [ORNL]"",""Johnson, T [Duke University/TUNL]"",""Khromov, Alexander [ORNL]"",""Konovalov, Alexey [ORNL]"",""Koros, J. [Duke University]"",""Kozlova, E [Alikhanov Institute for Theoretical and Experimental Physics, Moscow, Russia]"",""Kumpan, Alexander [ORNL]"",""Li, Long nmn [ORNL]"",""Librande, J T. [Center for Experimental Nuclear Physics and Astrophysics, University of Washington]"",""Link, J. [Virginia Tech, Blacksburg, VA]"",""Liu, J [University of South Dakota]"",""Mann, K [Triangle Universities Nuclear Laboratory, Durham, NC]"",""Markoff, D. [North Carolina Central University, Durham]"",""McGoldrick, O [Center for Experimental Nuclear Physics and Astrophysics, University of Washington]"",""Mueller, Paul [ORNL] (ORCID:0000000203346889)"",""Newby, Jason [ORNL] (ORCID:0000000335711067)"",""Parno, Diana [ORNL]"",""Penttila, Seppo [ORNL] (ORCID:0000000168881084)"",""Pershey, Daniel [Duke University]"",""Radford, David [ORNL] (ORCID:0000000189876962)"",""Rapp, Rebecca [ORNL]"",""Ray, H. [University of Florida, Gainesville]"",""Raybern, Justin L. [ORNL]"",""Razuvaeva, O [Alikhanov Institute for Theoretical and Experimental Physics, Moscow, Russia]"",""Reyna, David [ORNL]"",""Rich, Grayson [ORNL]"",""Rudik, Dmitrii [ORNL]"",""Runge, James [ORNL]"",""Salvat, D. J. [Indiana University]"",""Scholberg, Kate [ORNL]"",""Shakirov, Aleksey [ORNL]"",""Simakov, G [Alikhanov Institute for Theoretical and Experimental Physics, Moscow, Russia]"",""Sinev, Gleb [ORNL]"",""Snow, William [ORNL]"",""Sosnovtsev, V. [Moscow Engineering Physics Institute (MEPhI), Russia]"",""Suh, Benjamin [ORNL]"",""Tayloe, R. [Indiana University]"",""Tellez-Giron-Flores, Karla [Virginia Tech, Blacksburg, VA]"",""Thornton, R T. [Los Alamos National Laboratory (LANL)]"",""Tolstukhin, Ivan A. [ORNL]"",""Vanderwerp, J. [Indiana University]"",""Varner Jr, Robert L. [ORNL] (ORCID:0000000204777488)"",""Virtue, Clarence [ORNL]"",""Visser, Gerard [Indiana University]"",""Wiseman, C [Center for Experimental Nuclear Physics and Astrophysics, University of Washington]"",""Yang, J [Tufts University]"",""Yen, Y.-R. [Drexel University]"",""Yoo, Jong Hee [ORNL]"",""Yu, Chang-Hong [ORNL] (ORCID:000000029849842X)"",""Zettlemoyer, Jacob C. [ORNL] (ORCID:0000000292227071)"",""Wongjirad, T [Tufts University]""",2021-08-16T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)"",""Fermi National Accelerator Lab. (FNAL), Batavia, IL (United States)"",""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)"",""Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)"",""Carnegie Mellon Univ., Pittsburgh, PA (United States)""",Journal Article,Accepted Manuscript,Journal of Instrumentation
"""Gentry, Cole [ORNL] (ORCID:0000000237730707)"",""Seker, Volkan [University of Michigan]"",""Ade, Brian [ORNL] (ORCID:0000000204194880)"",""Conant, Andrew [ORNL] (ORCID:0000000177664321)"",""Luciano, Nicholas P. [ORNL] (ORCID:0000000153136049)"",""Kim, Kang Seog [ORNL] (ORCID:0000000186229321)"",""Collins, Benjamin [ORNL] (ORCID:0000000241918868)"",""Downar, Thomas [University of Michigan]""",2021-10-01T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Conference,,
"""Armstrong, Robert J [Idaho National Laboratory] (ORCID:0000000178753828)"",""Folsom, Charles P [Idaho National Laboratory] (ORCID:0000000282428777)"",""Fleming, Austin D [Idaho National Laboratory] (ORCID:0000000268015028)"",""Jensen, Colby B [Idaho National Laboratory] (ORCID:0000000189257758)""",2021-10-24T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Conference,,
"""Merlino, Robert [Department of Physics and Astronomy, The University of Iowa, Iowa City, Iowa, USA]""",2021-09-15T00:00:00Z,"""Univ. of Iowa, Iowa City, IA (United States)""",Journal Article,Published Article,Advances in Physics: X
"""Talou, Patrick [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000205363615)""",2021-08-09T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)""",Journal Article,Accepted Manuscript,Annals of Nuclear Energy (Oxford)
"""Brigham, Brian A. [Univ. of Texas at San Antonio, TX (United States)]"",""Montoya, Katherine I. [Univ. of Texas at San Antonio, TX (United States)]"",""Gerczak, Tyler J. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)] (ORCID:0000000199673579)"",""Sooby, Elizabeth S. [Univ. of Texas at San Antonio, TX (United States)]""",2021-08-19T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Journal of Nuclear Materials
"""Jiang, Wen [Idaho National Laboratory] (ORCID:0000000169789159)"",""Singh, Gyanender [Idaho National Laboratory]"",""Hales, Jason D [Idaho National Laboratory]"",""Toptan, Aysenur [Idaho National Laboratory]"",""Spencer, Benjamin W [Idaho National Laboratory]"",""Novascone, Stephen R [Idaho National Laboratory]""",2021-10-11T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Technical Report,,
"""Steiner, Alison F. [CH2M HILL BWXT West Valley, LLC]"",""MacNeill, Bethany L. [US Department of Energy, West Valley Demonstration Project]"",""Desmarais, Joshua T. [US Department of Energy, West Valley Demonstration Project]"",""Forti, Joseph [US Department of Energy, West Valley Demonstration Project]"",""Maloney, Moira N. [US Department of Energy, West Valley Demonstration Project]"",""Lowes, Elizabeth A. [CH2M HILL BWXT West Valley, LLC]"",""Werchowski, Rebecca L. [CH2M HILL BWXT West Valley, LLC]"",""Pendl, Michael [CH2M HILL BWXT West Valley, LLC]"",""Steiner, II, Robert E. [CH2M HILL BWXT West Valley, LLC]""",2021-09-23T00:00:00Z,"""West Valley Demonstration Project, West Valley, NY (United States)""",Technical Report,,
"""Tarlton, Michael L. [Department of Chemistry, University of Missouri, 601 S. College Avenue, Columbia 65211, Missouri, United States]"",""Fajen, O. Jonathan [Department of Chemistry, University of Missouri, 601 S. College Avenue, Columbia 65211, Missouri, United States]"",""Kelley, Steven P. [Department of Chemistry, University of Missouri, 601 S. College Avenue, Columbia 65211, Missouri, United States] (ORCID:0000000167554495)"",""Kerridge, Andrew [Department of Chemistry, Lancaster University, Lancaster LA1 4YB, U.K.] (ORCID:0000000228761202)"",""Malcomson, Thomas [Department of Chemistry, Lancaster University, Lancaster LA1 4YB, U.K.]"",""Morrison, Thomas L. [Department of Chemistry, Colorado State University, Fort Collins 80523, Colorado, United States]"",""Shores, Matthew P. [Department of Chemistry, Colorado State University, Fort Collins 80523, Colorado, United States] (ORCID:0000000297510490)"",""Xhani, Xhensila [Department of Chemistry, University of Missouri, 601 S. College Avenue, Columbia 65211, Missouri, United States]"",""Walensky, Justin R. [Department of Chemistry, University of Missouri, 601 S. College Avenue, Columbia 65211, Missouri, United States] (ORCID:0000000302212675)""",2021-06-30T00:00:00Z,"""Univ. of Missouri, Columbia, MO (United States)""",Journal Article,,Inorganic Chemistry
"""Brooks, Scott C. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)] (ORCID:0000000284379788)"",""Miller, Carrie L. [Ramapo College of New Jersey, Mahwah, NJ (United States)]"",""Riscassi, Ami L. [Univ. of Virginia, Charlottesville, VA (United States)] (ORCID:0000000317677459)"",""Lowe, Kenneth [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)]"",""Dickson, Johnbull O. [Florida International University, Miami]"",""Schwartz, Grace E. [Wofford College, Spartanburg, SC (United States); Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)]""",2021-08-23T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Hydrological Processes
"""O’Quinn, Eric C."",""Drey, Devon L."",""Lang, Maik K.""",2021-08-19T00:00:00Z,"""Univ. of Tennessee, Knoxville, TN (United States)""",Journal Article,Published Article,Frontiers in Chemistry
"""Guo, Wen-Mei [Anhui Normal Univ., Wuhu (China)]"",""Li, Bao-An [Texas A & M Univ., Commerce, TX (United States)] (ORCID:0000000179974817)"",""Yong, Gao-Chan [Chinese Academy of Sciences, Lanzhou (China)]""",2021-09-02T00:00:00Z,"""Texas A & M Univ., Commerce, TX (United States)""",Journal Article,Accepted Manuscript,Physical Review C
"""Wedal, Justin C. [Department of Chemistry, University of California, Irvine, USA] (ORCID:0000000304378601)"",""Barlow, Jeffrey M. [Department of Chemistry, University of California, Irvine, USA] (ORCID:0000000295368021)"",""Ziller, Joseph W. [Department of Chemistry, University of California, Irvine, USA] (ORCID:000000017404950X)"",""Yang, Jenny Y. [Department of Chemistry, University of California, Irvine, USA] (ORCID:0000000296808260)"",""Evans, William J. [Department of Chemistry, University of California, Irvine, USA] (ORCID:000000020651418X)""",2021-06-23T00:00:00Z,,Journal Article,Published Article,Chemical Science
"""Holdhusen, Will J. [Indiana Univ., Bloomington, IN (United States)] (ORCID:0000000283693986)"",""Lerma-Hernández, Sergio [Univ. Veracruzana, Veracruz (Mexico)] (ORCID:0000000152897698)"",""Dukelsky, Jorge [CSIC, Madrid (Spain)] (ORCID:0000000277155487)"",""Ortiz, Gerardo [Indiana Univ., Bloomington, IN (United States)] (ORCID:0000000332544494)""",2021-08-16T00:00:00Z,"""Indiana Univ., Bloomington, IN (United States)""",Journal Article,Accepted Manuscript,Physical Review B
"""Mariner, Paul"",""Berg, Timothy"",""Debusschere, Bert"",""Eckert, Aubrey"",""Harvey, Jacob"",""LaForce, Tara"",""Leone, Rosemary"",""Mills, Melissa"",""Nole, Michael"",""Park, Heeho"",""&#x0D"",""Perry, F. V."",""Seidl, Daniel"",""Swiler, Laura Painton"",""Chang, Kyung Won""",2021-10-01T00:00:00Z,"""Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)""",Technical Report,,
"""Demirkanli, Deniz I. [BATTELLE (PACIFIC NW LAB)]"",""Freedman, Vicky L. [BATTELLE (PACIFIC NW LAB)]""",2021-09-30T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Technical Report,,
"""Lascola, Robert J. [Savannah River Site (SRS), Aiken, SC (United States). Savannah River National Lab. (SRNL)]"",""Thomas, Michael [Savannah River Site (SRS), Aiken, SC (United States). Savannah River National Lab. (SRNL)]"",""Diprete, David [Savannah River Site (SRS), Aiken, SC (United States). Savannah River National Lab. (SRNL)]"",""Murph, Simona [Savannah River Site (SRS), Aiken, SC (United States). Savannah River National Lab. (SRNL)]"",""Fenker, Kalee [Savannah River Site (SRS), Aiken, SC (United States). Savannah River National Lab. (SRNL)]""",2021-10-11T00:00:00Z,"""Savannah River Site (SRS), Aiken, SC (United States). Savannah River National Lab. (SRNL)""",Technical Report,,
"""Skerjanc, William F [Idaho National Laboratory]""",2021-09-28T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Program Document,,
"""Marević, Petar [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States). Nuclear and Chemical Sciences Division] (ORCID:0000000301617435)"",""Schunck, Nicolas [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States). Nuclear and Chemical Sciences Division]"",""Randrup, Jørgen [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division] (ORCID:0000000276184876)"",""Vogt, Ramona [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States). Nuclear and Chemical Sciences Division; Univ. of California, Davis, CA (United States). Physics and Astronomy Dept.] (ORCID:0000000206331260)""",2021-08-04T00:00:00Z,"""Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)""",Journal Article,Accepted Manuscript,Physical Review C
"""Smith, Micheal A."",""Ibarra, Lander"",""Oaks, Aaron""",2021-09-30T00:00:00Z,"""Argonne National Lab. (ANL), Argonne, IL (United States)""",Technical Report,,
"""Hanus, Riley [Georgia Institute of Technology, Atlanta, GA (United States). Dept. of Mechanical Engineering] (ORCID:0000000262420647)"",""Gurunathan, Ramya [Northwestern Univ., Evanston, IL (United States). Materials Science and Engineering] (ORCID:0000000177054654)"",""Lindsay, Lucas [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States). Materials Science and Technology Division] (ORCID:0000000196457993)"",""Agne, Matthias T. [Georgia Institute of Technology, Atlanta, GA (United States). Dept. of Mechanical Engineering; Helmholtz-Institute, Muenster (Germany). Institute for Energy and Climate Research] (ORCID:0000000182705730)"",""Shi, Jingjing [Georgia Institute of Technology, Atlanta, GA (United States). Dept. of Mechanical Engineering] (ORCID:0000000202494468)"",""Graham, Samuel [Georgia Institute of Technology, Atlanta, GA (United States). Dept. of Mechanical Engineering] (ORCID:0000000212991636)"",""Jeffrey Snyder, G. [Northwestern Univ., Evanston, IL (United States). Materials Science and Engineering]""",2021-09-01T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Applied Physics Reviews
"""Hiti, E. A. [Department of Chemistry and Biochemistry, Auburn University, Auburn, AL 36849, USA]"",""Wilkinson, G. R. [Department of Chemistry and Biochemistry, Auburn University, Auburn, AL 36849, USA]"",""Ariyarathna, I. R. [Department of Chemistry and Biochemistry, Auburn University, Auburn, AL 36849, USA, Department of Chemical Engineering, Massachusetts Institute of Technology, Cambridge, MA 02139, USA] (ORCID:0000000252594248)"",""Tutson, C. D. [Department of Chemistry and Biochemistry, Auburn University, Auburn, AL 36849, USA]"",""Hardy, E. E. [Department of Chemistry and Biochemistry, Auburn University, Auburn, AL 36849, USA] (ORCID:0000000316707468)"",""Maynard, B. A. [Department of Chemistry and Biochemistry, Auburn University, Auburn, AL 36849, USA]"",""Miliordos, E. [Department of Chemistry and Biochemistry, Auburn University, Auburn, AL 36849, USA] (ORCID:0000000334717133)"",""Gorden, A. E. V. [Department of Chemistry and Biochemistry, Auburn University, Auburn, AL 36849, USA, Department of Chemistry and Biochemistry, Texas Tech University, Lubbock, TX 79409, USA] (ORCID:0000000166239880)""",2021-08-18T00:00:00Z,,Journal Article,Publisher's Accepted Manuscript,Dalton Transactions
"""Corbey, Jordan F. [BATTELLE (PACIFIC NW LAB)] (ORCID:0000000232733044)"",""Sweet, Lucas E. [BATTELLE (PACIFIC NW LAB)]"",""Sinkov, Sergey I. [BATTELLE (PACIFIC NW LAB)]"",""Reilly, Dallas D. [BATTELLE (PACIFIC NW LAB)]"",""Parker, Cyrena M. [BATTELLE (PACIFIC NW LAB)]"",""Lonergan, Jason M. [BATTELLE (PACIFIC NW LAB)]"",""Johnson, Timothy J. [BATTELLE (PACIFIC NW LAB)]""",2021-08-26T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,,European Journal of Inorganic Chemistry
"""Heidlage, Michael G. [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000346334113)"",""Aloi, M. J. [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)]"",""Safarik, D. J. [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000186489377)""",2021-09-03T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)""",Journal Article,Accepted Manuscript,Review of Scientific Instruments
"""Durko, Paul [Y-12 National Security Complex, Oak Ridge, TN (United States)]""",2021-11-01T00:00:00Z,"""Oak Ridge Y-12 Plant (Y-12), Oak Ridge, TN (United States)""",Conference,,
"""Brown, M. Alex"",""Johnson, Nathan"",""Gelis, Artem V."",""Stika, Milan"",""Servis, Anna G."",""Bakken, Alex"",""Krizmanich, Christine"",""Shannon, Kristin"",""Kozak, Peter"",""Barnhart, Amanda"",""Denbrock, Chad"",""Luciani, Nicolas"",""Grimm, Terry"",""Tkac, Peter""",2021-06-24T00:00:00Z,"""Argonne National Lab. (ANL), Argonne, IL (United States)""",Journal Article,Published Article,Scientific Reports
"""Lounder, Samuel J. [Department of Chemical and Biological Engineering, Tufts University, Medford, MA 02155] (ORCID:0000000237700719)"",""Asatekin, Ayse [Department of Chemical and Biological Engineering, Tufts University, Medford, MA 02155]""",2021-09-07T00:00:00Z,,Journal Article,Published Article,Proceedings of the National Academy of Sciences of the United States of America
"""Arrigo, Leah M. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Jiang, Jun [Atomic Weapons Research Establishment (AWRE), Aldermaston (United Kingdom)]"",""Finch, Zachary S. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Bowen, James M. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Herman, Staci M. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Greenwood, Lawrence R. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000165630650)"",""Friese, Judah I. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Seiner, Brienne N. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]""",2021-07-20T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,Accepted Manuscript,Separations
"""Cooper, Michael William Donald [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000182707947)"",""Gamble, Kyle A. [Idaho National Lab. (INL), Idaho Falls, ID (United States)]"",""Capolungo, Laurent [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000180797790)"",""Matthews, Christopher [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000314681348)"",""Andersson, Anders David Ragnar [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000158631372)"",""Beeler, Benjamin [North Carolina State Univ., Raleigh, NC (United States)]"",""Stanek, Christopher Richard [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:000000019989219X)"",""Metzger, Kallie [Westinghouse Electric Company LLC, Cranberry Columbia, SC (United States)]""",2021-06-12T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)""",Journal Article,Accepted Manuscript,Journal of Nuclear Materials
"""Duenas, Alexander [Oregon State Univ., Corvallis, OR (United States); Idaho National Lab. (INL), Idaho Falls, ID (United States)] (ORCID:0000000166558013)"",""Wachs, Daniel [Idaho National Lab. (INL), Idaho Falls, ID (United States)] (ORCID:0000000292393424)"",""Mignot, Guillaume [Oregon State Univ., Corvallis, OR (United States)] (ORCID:0000000181512435)"",""Reyes, Jose N. [NuScale Power LLC., Corvallis, OR (United States)]"",""Wu, Qiao [Oregon State Univ., Corvallis, OR (United States)] (ORCID:0000000327053850)"",""Marcum, Wade [Oregon State Univ., Corvallis, OR (United States)] (ORCID:0000000320315758)""",2021-08-11T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Journal Article,Accepted Manuscript,Nuclear Science and Engineering
"""Daughton, Ashlynn R. (ORCID:0000000316943268)"",""Paul, Michael J.""",2021-08-09T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)""",Journal Article,Published Article,Social Network Analysis and Mining
"""Malone, Michael""",2021-09-01T00:00:00Z,"""Oak Ridge Y-12 Plant (Y-12), Oak Ridge, TN (United States)""",Conference,,
"""Neumann, J"",""Qiu, C"",""Eng, P"",""Skanthakumar, S."",""Soderholm, L."",""Stumpf, T"",""Schmidt, M""",2021-08-05T00:00:00Z,"""Argonne National Lab. (ANL), Argonne, IL (United States)""",Journal Article,,Journal of Physical Chemistry. C
"""Smith, Mariah"",""Leute, Jennifer"",""Wagner, Kenneth"",""Clavier, Kyle""",2021-10-01T00:00:00Z,"""Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)""",Technical Report,,
"""Redding, Theodore J [Mission Support and Test Services, LLC (MSTS), North Las Vegas, NV (United States)]""",2021-10-01T00:00:00Z,"""Nevada National Security Site (NNSS), North Las Vegas, NV (United States)""",Program Document,,
"""Adams, D. Q."",""Alduino, C."",""Alessandria, F."",""Alfonso, K."",""Andreotti, E."",""Avignone, F. T."",""Azzolini, O."",""Balata, M."",""Bandac, I."",""Banks, T. I."",""Bari, G."",""Barucci, M."",""Beeman, J. W."",""Bellini, F."",""Benato, G."",""Beretta, M."",""Bersani, A."",""Biare, D."",""Biassoni, M."",""Bragazzi, F."",""Branca, A."",""Brofferio, C."",""Bryant, A."",""Buccheri, A."",""Bucci, C."",""Bulfon, C."",""Camacho, A."",""Camilleri, J."",""Caminata, A."",""Campani, A."",""Canonica, L."",""Cao, X. G."",""Capelli, S."",""Capodiferro, M."",""Cappelli, L."",""Cardani, L."",""Cariello, M."",""Carniti, P."",""Carrettoni, M."",""Casali, N."",""Cassina, L."",""Celi, E."",""Cereseto, R."",""Ceruti, G."",""Chiarini, A."",""Chiesa, D."",""Chott, N."",""Clemenza, M."",""Conventi, D."",""Copello, S."",""Cosmelli, C."",""Cremonesi, O."",""Crescentini, C."",""Creswick, R. J."",""Cushman, J. S."",""D’Addabbo, A."",""D’Aguanno, D."",""Dafinei, I."",""Datskov, V."",""Davis, C. J."",""Corso, F. Del"",""Dell’Oro, S."",""Deninno, M. M."",""Di Domizio, S."",""Dompè, V."",""Di Vacri, M. L."",""Di Paolo, L."",""Drobizhev, A."",""Ejzak, L."",""Faccini, R."",""Fang, D. Q."",""Fantini, G."",""Faverzani, M."",""Ferri, E."",""Ferroni, F."",""Fiorini, E."",""Franceschi, M. A."",""Freedman, S. J."",""Fu, S. H."",""Fujikawa, B. K."",""Gaigher, R."",""Ghislandi, S."",""Giachero, A."",""Gironi, L."",""Giuliani, A."",""Gladstone, L."",""Goett, J."",""Gorla, P."",""Gotti, C."",""Guandalini, C."",""Guerzoni, M."",""Guetti, M."",""Gutierrez, T. D."",""Haller, E. E."",""Han, K."",""Hansen, E. V."",""Heeger, K. M."",""Hennings-Yeomans, R."",""Hickerson, K. P."",""Huang, R. G."",""Huang, H. Z."",""Iannone, M."",""Ioannucci, L."",""Johnston, J."",""Kadel, R."",""Keppel, G."",""Kogler, L."",""Kolomensky, Yu G."",""Leder, A."",""Ligi, C."",""Lim, K. E."",""Liu, R."",""Ma, L."",""Ma, Y. G."",""Maiano, C."",""Maino, M."",""Marini, L."",""Martinez, M."",""Amaya, C. Martinez"",""Maruyama, R. H."",""Mayer, D."",""Mazza, R."",""Mei, Y."",""Moggi, N."",""Morganti, S."",""Mosteiro, P. J."",""Nagorny, S. S."",""Napolitano, T."",""Nastasi, M."",""Nikkel, J."",""Nisi, S."",""Nones, C."",""Norman, E. B."",""Novati, V."",""Nucciotti, A."",""Nutini, I."",""O’Donnell, T."",""Olcese, M."",""Olivieri, E."",""Orio, F."",""Orlandi, D."",""Ouellet, J. L."",""Pagan, S."",""Pagliarone, C. E."",""Pagnanini, L."",""Pallavicini, M."",""Palmieri, V."",""Pattavina, L."",""Pavan, M."",""Pedretti, M."",""Pedrotta, R."",""Pelosi, A."",""Perego, M."",""Pessina, G."",""Pettinacci, V."",""Piperno, G."",""Pira, C."",""Pirro, S."",""Pozzi, S."",""Previtali, E."",""Puiu, A."",""Quitadamo, S."",""Reindl, F."",""Rimondi, F."",""Risegari, L."",""Rosenfeld, C."",""Rossi, C."",""Rusconi, C."",""Sakai, M."",""Sala, E."",""Salvioni, C."",""Sangiorgio, S."",""Santone, D."",""Schaeffer, D."",""Schmidt, B."",""Schmidt, J."",""Scielzo, N. D."",""Sharma, V."",""Singh, V."",""Sisti, M."",""Smith, A. R."",""Speller, D."",""Stivanello, F."",""Surukuchi, P. T."",""Taffarello, L."",""Tatananni, L."",""Tenconi, M."",""Terranova, F."",""Tessaro, M."",""Tomei, C."",""Ventura, G."",""Vetter, K. J."",""Vignati, M."",""Wagaarachchi, S. L."",""Wallig, J."",""Wang, B. S."",""Wang, H. W."",""Welliver, B."",""Wilson, J."",""Wilson, K."",""Winslow, L. A."",""Wise, T."",""Zanotti, L."",""Zarra, C."",""Zhang, G. Q."",""Zhu, B. X."",""Zimmermann, S."",""Zucchelli, S.""",2021-08-27T00:00:00Z,"""Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)"",""Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)""",Journal Article,Accepted Manuscript,Progress in Particle and Nuclear Physics
